Name,Brand,Latitude,Longitude
Husky,Husky,43.4185995,-79.716714
Esso,Esso,43.4181631,-79.7171861
Shell,Shell,43.4192485,-79.7174757
Petro-Canada,Petro-Canada,43.4177413,-79.7157001
Inver,Inver,43.6849751,-79.447879
Pioneer,Pioneer,43.5970739,-79.5434995
Shell,Shell,43.6021833,-79.5449701
Canadian Petroleum,Unknown,43.8271199,-79.2909135
Esso,Esso,43.6231369,-79.6026223
Centex,Unknown,43.7062815,-79.2517759
Mid-King Gas,Unknown,43.7105022,-79.2482666
Esso,Esso,43.758667,-79.4105715
Pioneer,Pioneer,43.3795823,-80.3189758
Shell,Shell,43.7304118,-79.2257805
Pioneer,Pioneer,43.7315166,-79.2247578
Esso,Esso,43.7159374,-79.5551043
Mobil,Mobil,43.7641081,-79.5741618
Canco,Unknown,43.7707674,-79.5426639
Petro-Canada,Petro-Canada,43.6813699,-79.2809568
Shell,Shell,43.6880298,-79.2837177
Petro-Canada,Petro-Canada,43.8038475,-79.3959591
7-Eleven,7-Eleven,43.7324919,-79.4325345
Canadian Tire,Canadian Tire,43.7901651,-79.2596925
Esso,Esso,43.781305,-79.2989199
Esso,Esso,43.7058661,-79.7858587
Esso,Esso,43.7735557,-79.8789777
Mobil,Mobil,43.6831999,-79.81271
Sam's Club,Sam's Club,34.0741953,-117.5587626
Shell,Shell,34.0765628,-117.550721
Chevron,Chevron,34.0767726,-117.545882
Shell,Shell,43.8601753,-79.0140155
Esso,Esso,43.8273395,-79.552109
Canadian Tire,Canadian Tire,43.829853,-79.5386127
7-Eleven,7-Eleven,43.8258901,-79.5544592
Esso,Esso,43.6818647,-79.803361
Esso,Esso,43.6459553,-79.7543216
Petro-Canada,Petro-Canada,43.7718894,-79.2508251
Petro-Canada,Petro-Canada,43.7512385,-79.4570542
Esso,Esso,45.342723,-75.6905791
Unknown,Unknown,49.8012586,-91.1794556
Esso,Esso,43.7392703,-79.7601518
Esso,Esso,43.3238119,-79.7975266
Pioneer,Pioneer,43.2393642,-79.7598506
Stinson,Stinson,44.2373989,-76.5034118
Petro-Canada,Petro-Canada,43.4702081,-80.5132453
Pioneer,Pioneer,43.2311567,-79.902239
Petro-Canada,Petro-Canada,43.8278219,-79.5327278
Petro-Canada,Petro-Canada,43.4938383,-80.5479536
Esso,Esso,43.6958705,-79.7984841
Husky,Husky,43.6953309,-79.7976602
Petro-Canada,Petro-Canada,43.6162383,-79.5944852
Esso,Esso,43.7196476,-79.773006
Canadian Tire,Canadian Tire,43.6967613,-79.7976624
Esso,Esso,43.8618511,-79.0253509
Esso,Esso,43.4648152,-79.7442641
Petro-Canada,Petro-Canada,43.8196636,-79.3262691
MacEwen,MacEwen,46.3082876,-79.4379113
7-Eleven,7-Eleven,43.8377587,-79.5026221
Petro-Canada,Petro-Canada,43.8026954,-79.6673997
Esso,Esso,43.7045011,-79.7267282
Esso,Esso,43.7499577,-79.2743046
Petro-Canada,Petro-Canada,43.8755721,-79.4158303
